model,space,correlation,layer,p-value,std_bootstrap,bootstrap,group
vit_base_patch16_224__VIS,Online Action,0.39218128564919585,blocks.11.npz,0.0,0.012307558985307714,"[np.float64(0.35511873739652694), np.float64(0.3396913598474746), np.float64(0.3206314637866832), np.float64(0.3455940275395969), np.float64(0.35263545428887744)]",Online
vit_base_patch16_224__VIS,Online Material,0.6182782237940447,blocks.11.npz,0.0,0.020762199633062747,"[np.float64(0.6200890951619726), np.float64(0.5964927269756447), np.float64(0.6353401956100231), np.float64(0.6396479109724696), np.float64(0.5872756208160343)]",Online
vit_base_patch16_224__VIS,Online Objects,0.6657717653873302,blocks.11.npz,0.0,0.01872444385752531,"[np.float64(0.6943917043881654), np.float64(0.6626908246971557), np.float64(0.6722529941394069), np.float64(0.6735937775004978), np.float64(0.6367116304969085)]",Online
vit_base_patch16_224__VIS,Online Categories,0.6402607993803537,blocks.10.npz,0.0,0.020067952671757126,"[np.float64(0.6469149668135349), np.float64(0.6652248957319802), np.float64(0.6241563129904054), np.float64(0.608932362873368), np.float64(0.6507911782430518)]",Online
vit_base_patch16_224__VIS,Online Attributes,0.6521613413962625,blocks.10.npz,0.0,0.012638602004614847,"[np.float64(0.6805083307807162), np.float64(0.6639445314162309), np.float64(0.6448084417643278), np.float64(0.6519952518010504), np.float64(0.6695374545991395)]",Online
vit_base_patch16_224__VIS,ADE20k,0.6109937765499939,blocks.10.npz,0.0,0.012606004949088579,"[np.float64(0.6331216959572988), np.float64(0.5988728647339934), np.float64(0.6218520735856702), np.float64(0.6331250143230315), np.float64(0.6177937274173249)]",ADE20k
vit_base_patch16_224__VIS,Places365,0.15433348962015697,blocks.10.npz,2.8122086682859466e-141,0.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",Places365
vit_base_patch16_224__VIS,SunDB Nav Func,0.36810781068704823,blocks.11.npz,0.0,0.009504724838038797,"[np.float64(0.3674060573683484), np.float64(0.3669228418632218), np.float64(0.39313158825428596), np.float64(0.3742081740766597), np.float64(0.3750546224422402)]",SunDB
vit_base_patch16_224__VIS,SunDB Materials,0.7333166447105735,blocks.10.npz,0.0,0.01381946667324456,"[np.float64(0.75367270301826), np.float64(0.7411858263671853), np.float64(0.7157840562764513), np.float64(0.7210474583832438), np.float64(0.7380814766356262)]",SunDB
vit_base_patch16_224__VIS,SunDB Spatial Env,0.7044819121343906,blocks.10.npz,0.0,0.015192178465101151,"[np.float64(0.690798375413184), np.float64(0.6687800155871612), np.float64(0.7131196897818011), np.float64(0.7030350368093866), np.float64(0.7026321872211666)]",SunDB
