names,layer
AlexNet (ImageNet),"['features.0.npz', 'features.3.npz', 'features.6.npz', 'features.8.npz', 'features.10.npz']"
VGG16 (ImageNet),"['features.0.npz', 'features.2.npz', 'features.5.npz', 'features.7.npz', 'features.10.npz', 'features.12.npz', 'features.14.npz', 'features.17.npz', 'features.19.npz', 'features.21.npz', 'features.24.npz', 'features.26.npz', 'features.28.npz']"
ResNet50 (ImageNet),"['layer1.npz', 'layer2.npz', 'layer3.npz', 'layer4.npz']"
ResNet50 (Places365),"['model.4.npz', 'model.5.npz', 'model.6.npz', 'model.7.npz', 'model.9.npz']"
ResNet50 (SceneParsing),"['decoder.ppm_conv.2.2.npz', 'decoder.ppm_conv.3.2.npz', 'decoder.ppm_last_conv.2.npz', 'decoder.fpn_out.2.0.2.npz', 'decoder.conv_last.1.npz']"
DINO ResNet50 (ImageNet),"['dino-rn50_DINO_DINO_fc.npz', 'dino-rn50_DINO_DINO_layer1.npz', 'dino-rn50_DINO_DINO_layer2.npz', 'dino-rn50_DINO_DINO_layer3.npz', 'dino-rn50_DINO_DINO_layer4.npz']"
CLIP ResNet101,"['visual.layer1.npz', 'visual.layer2.npz', 'visual.layer3.npz', 'visual.layer4.npz']"
X3D-m,"['blocks.1_slow.npz', 'blocks.1.npz', 'blocks.2_slow.npz', 'blocks.2.npz', 'blocks.3_slow.npz', 'blocks.3.npz', 'blocks.4_slow.npz', 'blocks.4.npz', 'blocks.5_slow.npz', 'blocks.5.npz']"
Slowfast ResNet101,"['blocks.1_slow.npz', 'blocks.1_fast.npz', 'blocks.2_slow.npz', 'blocks.2_fast.npz', 'blocks.3_slow.npz', 'blocks.3_fast.npz', 'blocks.4_slow.npz', 'blocks.4_fast.npz', 'blocks.5_slow.npz', 'blocks.5.npz', 'blocks.6_slow.npz', 'blocks.6.npz']"
DINO ViT Base Patch 16,"['blocks.0.attn.npz', 'blocks.1.attn.npz', 'blocks.2.attn.npz', 'blocks.3.attn.npz', 'blocks.4.attn.npz', 'blocks.5.attn.npz', 'blocks.6.attn.npz', 'blocks.7.attn.npz', 'blocks.8.attn.npz', 'blocks.9.attn.npz', 'blocks.10.attn.npz', 'blocks.11.attn.npz']"
ViT Base Patch 16,"['blocks.0.npz', 'blocks.1.npz', 'blocks.2.npz', 'blocks.3.npz', 'blocks.4.npz', 'blocks.5.npz', 'blocks.6.npz', 'blocks.7.npz', 'blocks.8.npz', 'blocks.9.npz', 'blocks.10.npz', 'blocks.11.npz']"
CLIP ViT-B 16,"['visual.transformer.resblocks.0.npz', 'visual.transformer.resblocks.1.npz', 'visual.transformer.resblocks.2.npz', 'visual.transformer.resblocks.3.npz', 'visual.transformer.resblocks.4.npz', 'visual.transformer.resblocks.5.npz', 'visual.transformer.resblocks.6.npz', 'visual.transformer.resblocks.7.npz', 'visual.transformer.resblocks.8.npz', 'visual.transformer.resblocks.9.npz', 'visual.transformer.resblocks.10.npz', 'visual.transformer.resblocks.11.npz']"
CLIP ViT-B 32,"['visual.transformer.resblocks.0.npz', 'visual.transformer.resblocks.1.npz', 'visual.transformer.resblocks.2.npz', 'visual.transformer.resblocks.3.npz', 'visual.transformer.resblocks.4.npz', 'visual.transformer.resblocks.5.npz', 'visual.transformer.resblocks.6.npz', 'visual.transformer.resblocks.7.npz', 'visual.transformer.resblocks.8.npz', 'visual.transformer.resblocks.9.npz', 'visual.transformer.resblocks.10.npz', 'visual.transformer.resblocks.11.npz']"
