,objects
0264_indoor,"bed, wardrobe, luggage, shelf, towels, carpet, lamp, table, door, wall, ceiling, hangers."
0231_indoor,"Cubicles, plants, chairs, monitors, books, shelves, ceiling, lights, carpet, windows."
0172_outdoor_manmade,"Trees, shrubs, flowers, grass, pond, birdbath, bench, chair."
0123_outdoor_manmade,"Buildings, cars, trees, street, sky."
0078_outdoor_natural,"water, sky, clouds, trees"
0278_indoor,"Room, sofa, pillows, table, lamp, television, chair, desk, rug, steps, door, windows, shutters, ceiling, lights."
0031_outdoor_natural,"beach, trees, water, clouds, sky"
0079_outdoor_natural,"River, clouds, sky, trees."
0173_outdoor_manmade,"bridge, water, trees, boats, buildings, sky."
0170_outdoor_manmade,"stones, plants, flowers, trees, house"
0183_outdoor_manmade,"court, fence, goal, palm, sky"
0100_indoor,"Basketball hoop, backboard, court, chairs, doors, mural, banners, clock, trashcan, lights."
0090_outdoor_natural,"Water, sky, vegetation, poles."
0137_indoor,"Arcade, shops, sign, floor, ceiling, windows, lights, benches, columns."
0182_outdoor_manmade,"trees, path, grass, buildings."
0171_outdoor_manmade,"trees, shrubs, flowers, stepping-stones, water, lantern, ferns"
0088_outdoor_natural,"erosion, trees, grass, soil, vegetation, cliff, sky"
0253_outdoor_manmade,"Bridge, river, rocks, trees, sunlight."
0062_outdoor_natural,"trees, river, leaves, sunlight, shadows."
0202_outdoor_manmade,"houses, stones, path, sky, mountain, clouds, vegetation."
0091_outdoor_natural,"Pier, Hut, Boat, Sea, Sky, Clouds, Coral"
0144_outdoor_natural,"Trees, grass, trail, leaves, sky."
0242_indoor,"Artwork, posters, door, refrigerator, scale, sofa, cushions, chair, trashcan, desk."
0168_outdoor_manmade,"buildings, windows, posters, lights, crosswalk, pipes, graffiti, sky"
0239_indoor,"Ceiling, lights, wall, railing, chairs, table, carpet, stairs, doors, windows."
0177_outdoor_manmade,"Wall, buttresses, tower, trees, grass, pathway, bench."
0019_outdoor_manmade,"alley, buildings, windows, shutters, ivy, cobblestone, sky"
0113_outdoor_natural,"rocks, water, trees, sky, bushes"
0097_outdoor_natural,"trees, path, mud, grass, leaves"
0204_outdoor_manmade,"Sky, clouds, trees, road, vegetation, leaves."
