,objects
0264_indoor,Furniture
0231_indoor,Furniture
0172_outdoor_manmade,Tree/Plant
0123_outdoor_manmade,Building/Wall
0078_outdoor_natural,Body of water
0278_indoor,Furniture
0031_outdoor_natural,Body of water
0079_outdoor_natural,Body of water
0173_outdoor_manmade,Body of water
0170_outdoor_manmade,Tree/Plant
0183_outdoor_manmade,Tree/Plant
0100_indoor,Furniture
0090_outdoor_natural,Body of water
0137_indoor,Building/Wall
0182_outdoor_manmade,Tree/Plant
0171_outdoor_manmade,Tree/Plant
0088_outdoor_natural,Tree/Plant
0253_outdoor_manmade,Body of water
0062_outdoor_natural,Body of water
0202_outdoor_manmade,Building/Wall
0091_outdoor_natural,Body of water
0144_outdoor_natural,Tree/Plant
0242_indoor,Furniture
0168_outdoor_manmade,Road/Street
0239_indoor,Furniture
0177_outdoor_manmade,Building/Wall
0019_outdoor_manmade,Road/Street
0113_outdoor_natural,Body of water
0097_outdoor_natural,Tree/Plant
0204_outdoor_manmade,Road/Street
0261_outdoor_natural,Tree/Plant
0230_outdoor_natural,Tree/Plant
0127_outdoor_manmade,Rocks/Stones
0212_indoor,Building/Wall
0176_outdoor_manmade,Road/Street
0058_indoor,Furniture
0270_indoor,Furniture
0034_outdoor_natural,Body of water
0096_outdoor_natural,Tree/Plant
0018_outdoor_manmade,Road/Street
0184_indoor,Furniture
0095_outdoor_natural,Tree/Plant
0111_outdoor_natural,Tree/Plant
0257_outdoor_manmade,Road/Street
0175_outdoor_manmade,Body of water
0124_outdoor_manmade,Road/Street
0186_outdoor_manmade,Tree/Plant
0234_indoor,Furniture
0108_outdoor_natural,Tree/Plant
0282_indoor,Body of water
0256_outdoor_manmade,Road/Street
0158_outdoor_natural,Body of water
0125_outdoor_manmade,Building/Wall
0055_indoor,Furniture
0104_outdoor_natural,Body of water
0179_outdoor_manmade,Road/Street
0146_indoor,Building/Wall
0193_outdoor_manmade,Road/Street
0046_outdoor_manmade,Tree/Plant
0131_outdoor_manmade,Building/Wall
0099_outdoor_natural,Tree/Plant
0129_outdoor_manmade,Road/Street
0266_indoor,Furniture
0105_outdoor_natural,Body of water
0233_indoor,Furniture
0023_outdoor_natural,Rocks/Stones
