,objects
0264_indoor,"Building/Wall, Furniture"
0231_indoor,"Building/Wall, Tree/Plant, Furniture"
0172_outdoor_manmade,"Tree/Plant, Body of water, Furniture"
0123_outdoor_manmade,"Building/Wall, Road/Street, Tree/Plant"
0078_outdoor_natural,"Body of water, Tree/Plant"
0278_indoor,"Building/Wall, Furniture"
0031_outdoor_natural,"Tree/Plant, Body of water"
0079_outdoor_natural,"Tree/Plant, Body of water"
0173_outdoor_manmade,"Building/Wall, Body of water, Tree/Plant"
0170_outdoor_manmade,"Tree/Plant, Rocks/Stones"
0183_outdoor_manmade,"Building/Wall, Tree/Plant, Road/Street"
0100_indoor,"Building/Wall, Furniture"
0090_outdoor_natural,"Tree/Plant, Body of water"
0137_indoor,"Building/Wall, Furniture"
0182_outdoor_manmade,"Building/Wall, Tree/Plant, Road/Street"
0171_outdoor_manmade,"Tree/Plant, Body of water, Rocks/Stones"
0088_outdoor_natural,"Tree/Plant, Rocks/Stones"
0253_outdoor_manmade,"Building/Wall, Tree/Plant, Body of water, Rocks/Stones"
0062_outdoor_natural,"Tree/Plant, Body of water"
0202_outdoor_manmade,"Building/Wall, Rocks/Stones"
0091_outdoor_natural,"Building/Wall, Body of water"
0144_outdoor_natural,"Tree/Plant, Road/Street"
0242_indoor,"Building/Wall, Furniture"
0168_outdoor_manmade,"Building/Wall, Road/Street"
0239_indoor,"Building/Wall, Furniture"
0177_outdoor_manmade,"Building/Wall, Tree/Plant, Road/Street, Furniture"
0019_outdoor_manmade,"Building/Wall, Tree/Plant, Road/Street"
0113_outdoor_natural,"Tree/Plant, Body of water, Rocks/Stones"
0097_outdoor_natural,"Tree/Plant, Road/Street"
0204_outdoor_manmade,"Tree/Plant, Road/Street"
0261_outdoor_natural,"Tree/Plant, Road/Street"
0230_outdoor_natural,"Tree/Plant, Road/Street"
0127_outdoor_manmade,Rocks/Stones
0212_indoor,"Building/Wall, Furniture"
0176_outdoor_manmade,"Building/Wall, Tree/Plant, Road/Street"
0058_indoor,"Building/Wall, Furniture"
0270_indoor,"Building/Wall,Rocks/Stones"
0034_outdoor_natural,"Tree/Plant, Body of water"
